account_id,bank,home_city,primary_device,secondary_device
ACC00000000,BANK0,CITY0,DEV0000000,DEV9000000
ACC00000001,BANK1,CITY1,DEV0000001,DEV9000001
ACC00000002,BANK2,CITY2,DEV0000002,DEV9000002
ACC00000003,BANK3,CITY3,DEV0000003,DEV9000003
ACC00000004,BANK4,CITY4,DEV0000004,DEV9000004
ACC00000005,BANK5,CITY5,DEV0000005,DEV9000005
ACC00000006,BANK6,CITY6,DEV0000006,DEV9000006
ACC00000007,BANK7,CITY7,DEV0000007,DEV9000007
ACC00000008,BANK0,CITY8,DEV0000008,DEV9000008
ACC00000009,BANK1,CITY9,DEV0000009,DEV9000009
ACC00000010,BANK2,CITY0,DEV0000010,DEV9000010
ACC00000011,BANK3,CITY1,DEV0000011,DEV9000011
ACC00000012,BANK4,CITY2,DEV0000012,DEV9000012
ACC00000013,BANK5,CITY3,DEV0000013,DEV9000013
ACC00000014,BANK6,CITY4,DEV0000014,DEV9000014
ACC00000015,BANK7,CITY5,DEV0000015,DEV9000015
ACC00000016,BANK0,CITY6,DEV0000016,DEV9000016
ACC00000017,BANK1,CITY7,DEV0000017,DEV9000017
ACC00000018,BANK2,CITY8,DEV0000018,DEV9000018
ACC00000019,BANK3,CITY9,DEV0000019,DEV9000019
ACC00000020,BANK4,CITY0,DEV0000020,DEV9000020
ACC00000021,BANK5,CITY1,DEV0000021,DEV9000021
ACC00000022,BANK6,CITY2,DEV0000022,DEV9000022
ACC00000023,BANK7,CITY3,DEV0000023,DEV9000023
ACC00000024,BANK0,CITY4,DEV0000024,DEV9000024
ACC00000025,BANK1,CITY5,DEV0000025,DEV9000025
ACC00000026,BANK2,CITY6,DEV0000026,DEV9000026
ACC00000027,BANK3,CITY7,DEV0000027,DEV9000027
ACC00000028,BANK4,CITY8,DEV0000028,DEV9000028
ACC00000029,BANK5,CITY9,DEV0000029,DEV9000029
ACC00000030,BANK6,CITY0,DEV0000030,DEV9000030
ACC00000031,BANK7,CITY1,DEV0000031,DEV9000031
ACC00000032,BANK0,CITY2,DEV0000032,DEV9000032
ACC00000033,BANK1,CITY3,DEV0000033,DEV9000033
ACC00000034,BANK2,CITY4,DEV0000034,DEV9000034
ACC00000035,BANK3,CITY5,DEV0000035,DEV9000035
ACC00000036,BANK4,CITY6,DEV0000036,DEV9000036
ACC00000037,BANK5,CITY7,DEV0000037,DEV9000037
ACC00000038,BANK6,CITY8,DEV0000038,DEV9000038
ACC00000039,BANK7,CITY9,DEV0000039,DEV9000039
ACC00000040,BANK0,CITY0,DEV0000040,DEV9000040
ACC00000041,BANK1,CITY1,DEV0000041,DEV9000041
ACC00000042,BANK2,CITY2,DEV0000042,DEV9000042
ACC00000043,BANK3,CITY3,DEV0000043,DEV9000043
ACC00000044,BANK4,CITY4,DEV0000044,DEV9000044
ACC00000045,BANK5,CITY5,DEV0000045,DEV9000045
ACC00000046,BANK6,CITY6,DEV0000046,DEV9000046
ACC00000047,BANK7,CITY7,DEV0000047,DEV9000047
ACC00000048,BANK0,CITY8,DEV0000048,DEV9000048
ACC00000049,BANK1,CITY9,DEV0000049,DEV9000049
ACC00000050,BANK2,CITY0,DEV0000050,DEV9000050
ACC00000051,BANK3,CITY1,DEV0000051,DEV9000051
ACC00000052,BANK4,CITY2,DEV0000052,DEV9000052
ACC00000053,BANK5,CITY3,DEV0000053,DEV9000053
ACC00000054,BANK6,CITY4,DEV0000054,DEV9000054
ACC00000055,BANK7,CITY5,DEV0000055,DEV9000055
ACC00000056,BANK0,CITY6,DEV0000056,DEV9000056
ACC00000057,BANK1,CITY7,DEV0000057,DEV9000057
ACC00000058,BANK2,CITY8,DEV0000058,DEV9000058
ACC00000059,BANK3,CITY9,DEV0000059,DEV9000059
ACC00000060,BANK4,CITY0,DEV0000060,DEV9000060
ACC00000061,BANK5,CITY1,DEV0000061,DEV9000061
ACC00000062,BANK6,CITY2,DEV0000062,DEV9000062
ACC00000063,BANK7,CITY3,DEV0000063,DEV9000063
ACC00000064,BANK0,CITY4,DEV0000064,DEV9000064
ACC00000065,BANK1,CITY5,DEV0000065,DEV9000065
ACC00000066,BANK2,CITY6,DEV0000066,DEV9000066
ACC00000067,BANK3,CITY7,DEV0000067,DEV9000067
ACC00000068,BANK4,CITY8,DEV0000068,DEV9000068
ACC00000069,BANK5,CITY9,DEV0000069,DEV9000069
ACC00000070,BANK6,CITY0,DEV0000070,DEV9000070
ACC00000071,BANK7,CITY1,DEV0000071,DEV9000071
ACC00000072,BANK0,CITY2,DEV0000072,DEV9000072
ACC00000073,BANK1,CITY3,DEV0000073,DEV9000073
ACC00000074,BANK2,CITY4,DEV0000074,DEV9000074
ACC00000075,BANK3,CITY5,DEV0000075,DEV9000075
ACC00000076,BANK4,CITY6,DEV0000076,DEV9000076
ACC00000077,BANK5,CITY7,DEV0000077,DEV9000077
ACC00000078,BANK6,CITY8,DEV0000078,DEV9000078
ACC00000079,BANK7,CITY9,DEV0000079,DEV9000079
ACC00000080,BANK0,CITY0,DEV0000080,DEV9000080
ACC00000081,BANK1,CITY1,DEV0000081,DEV9000081
ACC00000082,BANK2,CITY2,DEV0000082,DEV9000082
ACC00000083,BANK3,CITY3,DEV0000083,DEV9000083
ACC00000084,BANK4,CITY4,DEV0000084,DEV9000084
ACC00000085,BANK5,CITY5,DEV0000085,DEV9000085
ACC00000086,BANK6,CITY6,DEV0000086,DEV9000086
ACC00000087,BANK7,CITY7,DEV0000087,DEV9000087
ACC00000088,BANK0,CITY8,DEV0000088,DEV9000088
ACC00000089,BANK1,CITY9,DEV0000089,DEV9000089
ACC00000090,BANK2,CITY0,DEV0000090,DEV9000090
ACC00000091,BANK3,CITY1,DEV0000091,DEV9000091
ACC00000092,BANK4,CITY2,DEV0000092,DEV9000092
ACC00000093,BANK5,CITY3,DEV0000093,DEV9000093
ACC00000094,BANK6,CITY4,DEV0000094,DEV9000094
ACC00000095,BANK7,CITY5,DEV0000095,DEV9000095
ACC00000096,BANK0,CITY6,DEV0000096,DEV9000096
ACC00000097,BANK1,CITY7,DEV0000097,DEV9000097
ACC00000098,BANK2,CITY8,DEV0000098,DEV9000098
ACC00000099,BANK3,CITY9,DEV0000099,DEV9000099
ACC00000100,BANK4,CITY0,DEV0000100,DEV9000100
ACC00000101,BANK5,CITY1,DEV0000101,DEV9000101
ACC00000102,BANK6,CITY2,DEV0000102,DEV9000102
ACC00000103,BANK7,CITY3,DEV0000103,DEV9000103
ACC00000104,BANK0,CITY4,DEV0000104,DEV9000104
ACC00000105,BANK1,CITY5,DEV0000105,DEV9000105
ACC00000106,BANK2,CITY6,DEV0000106,DEV9000106
ACC00000107,BANK3,CITY7,DEV0000107,DEV9000107
ACC00000108,BANK4,CITY8,DEV0000108,DEV9000108
ACC00000109,BANK5,CITY9,DEV0000109,DEV9000109
ACC00000110,BANK6,CITY0,DEV0000110,DEV9000110
ACC00000111,BANK7,CITY1,DEV0000111,DEV9000111
ACC00000112,BANK0,CITY2,DEV0000112,DEV9000112
ACC00000113,BANK1,CITY3,DEV0000113,DEV9000113
ACC00000114,BANK2,CITY4,DEV0000114,DEV9000114
ACC00000115,BANK3,CITY5,DEV0000115,DEV9000115
ACC00000116,BANK4,CITY6,DEV0000116,DEV9000116
ACC00000117,BANK5,CITY7,DEV0000117,DEV9000117
ACC00000118,BANK6,CITY8,DEV0000118,DEV9000118
ACC00000119,BANK7,CITY9,DEV0000119,DEV9000119
ACC00000120,BANK0,CITY0,DEV0000120,DEV9000120
ACC00000121,BANK1,CITY1,DEV0000121,DEV9000121
ACC00000122,BANK2,CITY2,DEV0000122,DEV9000122
